 &SRS
 SRSRUN=14763,SRSDAT=201364,SRSTIM=03110,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
-0.98410	0.78736	  0.00
-0.98200	0.81414	  0.00
-0.98010	0.84053	  0.00
-0.97780	0.86939	  0.00
-0.97610	0.89638	  0.00
-0.97400	0.92311	  0.00
-0.97200	0.94855	  0.00
-0.97000	0.97378	  0.00
-0.96800	0.99637	  0.00
-0.96600	1.0186	  0.00
-0.96420	1.0401	  0.00
-0.96190	1.0604	  0.00
-0.96010	1.0814	  0.00
-0.95800	1.1026	  0.00
-0.95610	1.1198	  0.00
-0.95410	1.1366	  0.00
-0.95200	1.1529	  0.00
-0.95000	1.1695	  0.00
-0.94800	1.1831	  0.00
-0.94580	1.1962	  0.00
-0.94390	1.2110	  0.00
-0.94200	1.2217	  0.00
-0.94000	1.2338	  0.00
-0.93790	1.2432	  0.00
-0.93590	1.2533	  0.00
-0.93400	1.2626	  0.00
-0.93200	1.2710	  0.00
-0.93010	1.2787	  0.00
-0.92800	1.2855	  0.00
-0.92600	1.2926	  0.00
-0.92400	1.2979	  0.00
-0.92200	1.3026	  0.00
-0.92000	1.3077	  0.00
-0.91800	1.3106	  0.00
-0.91590	1.3146	  0.00
-0.91400	1.3184	  0.00
-0.91200	1.3209	  0.00
-0.91000	1.3225	  0.00
-0.90800	1.3243	  0.00
-0.90600	1.3263	  0.00
-0.90400	1.3285	  0.00
-0.90200	1.3296	  0.00
-0.90000	1.3310	  0.00
-0.89800	1.3319	  0.00
-0.89600	1.3331	  0.00
-0.89400	1.3343	  0.00
-0.89190	1.3348	  0.00
-0.89000	1.3350	  0.00
-0.88810	1.3355	  0.00
-0.88600	1.3359	  0.00
-0.88390	1.3366	  0.00
-0.88200	1.3369	  0.00
-0.88000	1.3368	  0.00
-0.87800	1.3366	  0.00
-0.87600	1.3370	  0.00
-0.87400	1.3374	  0.00
-0.87200	1.3379	  0.00
-0.87000	1.3380	  0.00
-0.86810	1.3381	  0.00
-0.86610	1.3385	  0.00
-0.86390	1.3383	  0.00
-0.86200	1.3381	  0.00
-0.86000	1.3377	  0.00
-0.85800	1.3375	  0.00
-0.85590	1.3380	  0.00
-0.85390	1.3380	  0.00
-0.85200	1.3383	  0.00
-0.85000	1.3379	  0.00
-0.84800	1.3382	  0.00
-0.84600	1.3379	  0.00
-0.84420	1.3376	  0.00
-0.84200	1.3379	  0.00
-0.84000	1.3379	  0.00
-0.83800	1.3380	  0.00
-0.83610	1.3381	  0.00
-0.83400	1.3382	  0.00
-0.83200	1.3376	  0.00
-0.83000	1.3376	  0.00
-0.82800	1.3378	  0.00
-0.82600	1.3377	  0.00
-0.82400	1.3381	  0.00
-0.82200	1.3378	  0.00
-0.82000	1.3376	  0.00
-0.81800	1.3372	  0.00
-0.81610	1.3373	  0.00
-0.81400	1.3370	  0.00
-0.81200	1.3374	  0.00
-0.81000	1.3374	  0.00
-0.80800	1.3376	  0.00
-0.80610	1.3374	  0.00
-0.80400	1.3378	  0.00
-0.80200	1.3379	  0.00
-0.80000	1.3376	  0.00
-0.79800	1.3374	  0.00
-0.79600	1.3371	  0.00
-0.79390	1.3372	  0.00
-0.79200	1.3379	  0.00
-0.79000	1.3376	  0.00
-0.78800	1.3372	  0.00
-0.78600	1.3366	  0.00
-0.78410	1.3372	  0.00
-0.78200	1.3372	  0.00
-0.78000	1.3369	  0.00
-0.77800	1.3368	  0.00
-0.77600	1.3367	  0.00
-0.77400	1.3368	  0.00
-0.77200	1.3375	  0.00
-0.77000	1.3376	  0.00
-0.76790	1.3374	  0.00
-0.76600	1.3370	  0.00
-0.76400	1.3369	  0.00
-0.76200	1.3373	  0.00
-0.76000	1.3369	  0.00
-0.75790	1.3371	  0.00
-0.75600	1.3366	  0.00
-0.75390	1.3367	  0.00
-0.75200	1.3369	  0.00
-0.75000	1.3372	  0.00
-0.74800	1.3370	  0.00
-0.74610	1.3367	  0.00
-0.74400	1.3368	  0.00
-0.74200	1.3365	  0.00
-0.74000	1.3370	  0.00
-0.73800	1.3371	  0.00
-0.73600	1.3370	  0.00
-0.73400	1.3362	  0.00
-0.73200	1.3364	  0.00
-0.73000	1.3368	  0.00
-0.72830	1.3368	  0.00
-0.72600	1.3372	  0.00
-0.72390	1.3372	  0.00
-0.72200	1.3368	  0.00
-0.72000	1.3364	  0.00
-0.71800	1.3364	  0.00
-0.71610	1.3366	  0.00
-0.71390	1.3367	  0.00
-0.71200	1.3366	  0.00
-0.71000	1.3373	  0.00
-0.70790	1.3371	  0.00
-0.70600	1.3372	  0.00
-0.70410	1.3369	  0.00
-0.70200	1.3365	  0.00
-0.70000	1.3368	  0.00
-0.69790	1.3363	  0.00
-0.69600	1.3364	  0.00
-0.69390	1.3361	  0.00
-0.69200	1.3363	  0.00
-0.69000	1.3366	  0.00
-0.68800	1.3369	  0.00
-0.68610	1.3371	  0.00
-0.68410	1.3367	  0.00
-0.68200	1.3366	  0.00
-0.68000	1.3361	  0.00
-0.67790	1.3363	  0.00
-0.67590	1.3363	  0.00
-0.67400	1.3362	  0.00
-0.67200	1.3360	  0.00
-0.67000	1.3356	  0.00
-0.66800	1.3359	  0.00
-0.66600	1.3363	  0.00
-0.66400	1.3362	  0.00
-0.66200	1.3359	  0.00
-0.66000	1.3360	  0.00
-0.65810	1.3356	  0.00
-0.65600	1.3359	  0.00
-0.65390	1.3362	  0.00
-0.65200	1.3361	  0.00
-0.65010	1.3364	  0.00
-0.64810	1.3365	  0.00
-0.64600	1.3362	  0.00
-0.64390	1.3354	  0.00
-0.64200	1.3354	  0.00
-0.63990	1.3353	  0.00
-0.63800	1.3359	  0.00
-0.63590	1.3356	  0.00
-0.63390	1.3359	  0.00
-0.63200	1.3356	  0.00
-0.63000	1.3361	  0.00
-0.62800	1.3358	  0.00
-0.62600	1.3358	  0.00
-0.62390	1.3359	  0.00
-0.62200	1.3358	  0.00
-0.62000	1.3352	  0.00
-0.61800	1.3356	  0.00
-0.61610	1.3357	  0.00
-0.61400	1.3353	  0.00
-0.61200	1.3354	  0.00
-0.61010	1.3351	  0.00
-0.60790	1.3352	  0.00
-0.60600	1.3356	  0.00
-0.60410	1.3357	  0.00
-0.60200	1.3355	  0.00
-0.60000	1.3352	  0.00
-0.59790	1.3358	  0.00
-0.59590	1.3358	  0.00
-0.59400	1.3356	  0.00
-0.59200	1.3350	  0.00
-0.59000	1.3347	  0.00
-0.58800	1.3353	  0.00
-0.58600	1.3350	  0.00
-0.58400	1.3347	  0.00
-0.58200	1.3350	  0.00
-0.58010	1.3349	  0.00
-0.57800	1.3353	  0.00
-0.57600	1.3351	  0.00
-0.57400	1.3348	  0.00
-0.57200	1.3350	  0.00
-0.57000	1.3349	  0.00
-0.56800	1.3345	  0.00
-0.56610	1.3347	  0.00
-0.56400	1.3344	  0.00
-0.56200	1.3346	  0.00
-0.56000	1.3350	  0.00
-0.55810	1.3349	  0.00
-0.55600	1.3351	  0.00
-0.55400	1.3351	  0.00
-0.55200	1.3352	  0.00
-0.55000	1.3351	  0.00
-0.54800	1.3349	  0.00
-0.54590	1.3345	  0.00
-0.54400	1.3348	  0.00
-0.54200	1.3352	  0.00
-0.54000	1.3350	  0.00
-0.53800	1.3345	  0.00
-0.53610	1.3350	  0.00
-0.53390	1.3347	  0.00
-0.53200	1.3351	  0.00
-0.53000	1.3348	  0.00
-0.52800	1.3345	  0.00
-0.52600	1.3352	  0.00
-0.52400	1.3350	  0.00
-0.52200	1.3347	  0.00
-0.52000	1.3346	  0.00
-0.51800	1.3342	  0.00
-0.51610	1.3344	  0.00
-0.51410	1.3345	  0.00
-0.51200	1.3348	  0.00
-0.50990	1.3349	  0.00
-0.50800	1.3343	  0.00
-0.50600	1.3343	  0.00
-0.50400	1.3349	  0.00
-0.50210	1.3348	  0.00
-0.50000	1.3349	  0.00
-0.49800	1.3343	  0.00
-0.49610	1.3345	  0.00
-0.49400	1.3345	  0.00
-0.49200	1.3345	  0.00
-0.49000	1.3345	  0.00
-0.48810	1.3344	  0.00
-0.48610	1.3343	  0.00
-0.48410	1.3345	  0.00
