site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
221,-96.952393,26.026867,Unknown,Unknown,1,offshore,16,8.2,0.373,0,0/221.nc
222,-82.281281,24.965988,Unknown,Unknown,1,offshore,16,6.35,0.224,0,0/222.nc
223,-82.262207,24.96299,Unknown,Unknown,1,offshore,16,6.35,0.224,0,0/223.nc
224,-82.243134,24.960007,Unknown,Unknown,1,offshore,16,6.35,0.224,0,0/224.nc
225,-82.22406,24.956993,Unknown,Unknown,1,offshore,16,6.35,0.224,0,0/225.nc
226,-82.205017,24.953995,Unknown,Unknown,1,offshore,16,6.35,0.225,0,0/226.nc
227,-82.014496,24.923721,Unknown,Unknown,1,offshore,16,6.37,0.227,0,0/227.nc
228,-81.995453,24.920662,Unknown,Unknown,1,offshore,16,6.37,0.227,0,0/228.nc
229,-81.97641,24.917625,Unknown,Unknown,1,offshore,16,6.37,0.227,0,0/229.nc
230,-81.957367,24.914558,Unknown,Unknown,1,offshore,16,6.38,0.228,0,0/230.nc
231,-81.938324,24.911499,Unknown,Unknown,1,offshore,16,6.38,0.228,0,0/231.nc
232,-81.919281,24.908424,Unknown,Unknown,1,offshore,16,6.39,0.228,0,0/232.nc
233,-81.900238,24.905357,Unknown,Unknown,1,offshore,16,6.39,0.229,0,0/233.nc
234,-81.881226,24.90229,Unknown,Unknown,1,offshore,16,6.39,0.229,0,0/234.nc
235,-81.862183,24.899208,Unknown,Unknown,1,offshore,16,6.4,0.229,0,0/235.nc
236,-81.84314,24.896126,Unknown,Unknown,1,offshore,16,6.4,0.23,0,0/236.nc
237,-81.824127,24.893044,Unknown,Unknown,1,offshore,16,6.41,0.23,0,0/237.nc
238,-81.729004,24.877548,Unknown,Unknown,1,offshore,16,6.43,0.232,0,0/238.nc
239,-81.709961,24.874443,Unknown,Unknown,1,offshore,16,6.44,0.232,0,0/239.nc
240,-81.690948,24.871323,Unknown,Unknown,1,offshore,16,6.45,0.233,0,0/240.nc
241,-81.671936,24.868217,Unknown,Unknown,1,offshore,16,6.46,0.233,0,0/241.nc
242,-81.652924,24.865089,Unknown,Unknown,1,offshore,16,6.46,0.233,0,0/242.nc
243,-81.595886,24.855682,Unknown,Unknown,1,offshore,16,6.49,0.235,0,0/243.nc
244,-81.576874,24.852554,Unknown,Unknown,1,offshore,16,6.49,0.235,0,0/244.nc
245,-81.557861,24.849403,Unknown,Unknown,1,offshore,16,6.5,0.235,0,0/245.nc
246,-81.538879,24.846252,Unknown,Unknown,1,offshore,16,6.51,0.236,0,0/246.nc
247,-81.519867,24.843109,Unknown,Unknown,1,offshore,16,6.52,0.236,0,0/247.nc
248,-81.500854,24.839951,Unknown,Unknown,1,offshore,16,6.53,0.237,0,0/248.nc
249,-81.481873,24.836792,Unknown,Unknown,1,offshore,16,6.53,0.237,0,0/249.nc
250,-81.46286,24.833626,Unknown,Unknown,1,offshore,16,6.54,0.238,0,0/250.nc
251,-97.738098,26.032654,Texas,Cameron,0.568,2,10,7.45,0.414,0,0/251.nc
252,-97.070465,26.043179,Unknown,Unknown,1,offshore,16,8.28,0.38,0,0/252.nc
253,-97.050842,26.043411,Unknown,Unknown,1,offshore,16,8.27,0.379,0,0/253.nc
254,-97.011536,26.043861,Unknown,Unknown,1,offshore,16,8.24,0.377,0,0/254.nc
255,-96.991913,26.044079,Unknown,Unknown,1,offshore,16,8.23,0.375,0,0/255.nc
256,-96.97226,26.044296,Unknown,Unknown,1,offshore,16,8.21,0.374,0,0/256.nc
257,-82.258911,24.980286,Unknown,Unknown,1,offshore,16,6.33,0.223,0,0/257.nc
258,-82.239838,24.977287,Unknown,Unknown,1,offshore,16,6.33,0.223,0,0/258.nc
259,-82.220764,24.974289,Unknown,Unknown,1,offshore,16,6.34,0.224,0,0/259.nc
260,-82.049225,24.947083,Unknown,Unknown,1,offshore,16,6.35,0.225,0,0/260.nc
261,-82.030182,24.944038,Unknown,Unknown,1,offshore,16,6.35,0.226,0,0/261.nc
262,-82.011108,24.940987,Unknown,Unknown,1,offshore,16,6.36,0.226,0,0/262.nc
263,-81.992065,24.937935,Unknown,Unknown,1,offshore,16,6.36,0.226,0,0/263.nc
264,-81.973022,24.934891,Unknown,Unknown,1,offshore,16,6.36,0.226,0,0/264.nc
265,-81.953979,24.931839,Unknown,Unknown,1,offshore,16,6.36,0.227,0,0/265.nc
266,-81.934937,24.928764,Unknown,Unknown,1,offshore,16,6.37,0.227,0,0/266.nc
